char,name,replacement,codepoint,mufidecode
ẜ,LATIN SMALL LETTER LONG S WITH DIAGONAL STROKE,,1E9C,s
z,LATIN SMALL LETTER Z,,007A,z
̾,COMBINING VERTICAL TILDE,,033E,
g,LATIN SMALL LETTER G,,0067,g
ᷠ,COMBINING LATIN SMALL LETTER N,,1DE0,n
u,LATIN SMALL LETTER U,,0075,u
p,LATIN SMALL LETTER P,,0070,p
I,LATIN CAPITAL LETTER I,,0049,I
i,LATIN SMALL LETTER I,,0069,i
U,LATIN CAPITAL LETTER U,,0055,U
⟧,MATHEMATICAL RIGHT WHITE SQUARE BRACKET,,27E7,
7,DIGIT SEVEN,,0037,7
r,LATIN SMALL LETTER R,,0072,r
B,LATIN CAPITAL LETTER B,,0042,B
F,LATIN CAPITAL LETTER F,,0046,F
ͦ,COMBINING LATIN SMALL LETTER O,,0366,o
ͣ,COMBINING LATIN SMALL LETTER A,,0363,a
K,LATIN CAPITAL LETTER K,,004B,K
C,LATIN CAPITAL LETTER C,,0043,C
R,LATIN CAPITAL LETTER R,,0052,R
:,COLON,,003A,:
ꝓ,LATIN SMALL LETTER P WITH FLOURISH,,A753,p
s,LATIN SMALL LETTER S,,0073,s
9,DIGIT NINE,,0039,9
S,LATIN CAPITAL LETTER S,,0053,S
ͤ,COMBINING LATIN SMALL LETTER E,,0364,e
h,LATIN SMALL LETTER H,,0068,h
l,LATIN SMALL LETTER L,,006C,l
ũ,LATIN SMALL LETTER U WITH TILDE,,0169,u
t,LATIN SMALL LETTER T,,0074,t
/,SOLIDUS,,002F,/
A,LATIN CAPITAL LETTER A,,0041,A
ᷤ,COMBINING LATIN SMALL LETTER S,,1DE4,s
ꝯ,LATIN SMALL LETTER CON,,A76F,con
Ꝙ,LATIN CAPITAL LETTER Q WITH DIAGONAL STROKE,,A758,Q
Q,LATIN CAPITAL LETTER Q,,0051,Q
a,LATIN SMALL LETTER A,,0061,a
P,LATIN CAPITAL LETTER P,,0050,P
D,LATIN CAPITAL LETTER D,,0044,D
᷑,COMBINING UR ABOVE,,1DD1,ur
V,LATIN CAPITAL LETTER V,,0056,V
ꝰ,MODIFIER LETTER US,,A770,con
đ,LATIN SMALL LETTER D WITH STROKE,,0111,d
6,DIGIT SIX,,0036,6
ł,LATIN SMALL LETTER L WITH STROKE,,0142,l
f,LATIN SMALL LETTER F,,0066,f
⟦,MATHEMATICAL LEFT WHITE SQUARE BRACKET,,27E6,
⁜,DOTTED CROSS,,205C,
m,LATIN SMALL LETTER M,,006D,m
X,LATIN CAPITAL LETTER X,,0058,X
k,LATIN SMALL LETTER K,,006B,k
5,DIGIT FIVE,,0035,5
ͥ,COMBINING LATIN SMALL LETTER I,,0365,i
n,LATIN SMALL LETTER N,,006E,n
O,LATIN CAPITAL LETTER O,,004F,O
',APOSTROPHE,,0027,'
H,LATIN CAPITAL LETTER H,,0048,H
w,LATIN SMALL LETTER W,,0077,w
E,LATIN CAPITAL LETTER E,,0045,E
J,LATIN CAPITAL LETTER J,,004A,J
x,LATIN SMALL LETTER X,,0078,x
T,LATIN CAPITAL LETTER T,,0054,T
e,LATIN SMALL LETTER E,,0065,e
.,FULL STOP,,002E,.
b,LATIN SMALL LETTER B,,0062,b
L,LATIN CAPITAL LETTER L,,004C,L
y,LATIN SMALL LETTER Y,,0079,y
4,DIGIT FOUR,,0034,4
0,DIGIT ZERO,,0030,0
c,LATIN SMALL LETTER C,,0063,c
̃,COMBINING TILDE,,0303,
ĩ,LATIN SMALL LETTER I WITH TILDE,,0129,i
3,DIGIT THREE,,0033,3
õ,LATIN SMALL LETTER O WITH TILDE,,00F5,o
⁊,TIRONIAN SIGN ET,,204A,et
G,LATIN CAPITAL LETTER G,,0047,G
ẽ,LATIN SMALL LETTER E WITH TILDE,,1EBD,e
o,LATIN SMALL LETTER O,,006F,o
ã,LATIN SMALL LETTER A WITH TILDE,,00E3,a
ͫ,COMBINING LATIN SMALL LETTER M,,036B,m
8,DIGIT EIGHT,,0038,8
,LATIN ABBREVIATION SIGN SEMICOLON,,F1AC,;
1,DIGIT ONE,,0031,1
M,LATIN CAPITAL LETTER M,,004D,M
N,LATIN CAPITAL LETTER N,,004E,N
ñ,LATIN SMALL LETTER N WITH TILDE,,00F1,n
q,LATIN SMALL LETTER Q,,0071,q
d,LATIN SMALL LETTER D,,0064,d
ꝑ,LATIN SMALL LETTER P WITH STROKE THROUGH DESCENDER,,A751,p
‸,CARET,,2038,^
2,DIGIT TWO,,0032,2
v,LATIN SMALL LETTER V,,0076,v
